REGION,CYCLONE_ID,LON_TCIR,LAT_TCIR,TIME,WIND_KTS,SIZE,PRESSURE_MB,USA_ATCF_ID,ISO_TIME,SID,LAT_IBTRACS,LON_IBTRACS,USA_WIND,USA_PRES
ATLN,200301L,-66.0,31.4,2003-04-18 15:00:00,30.0,0.0,1008.0,AL012003,2003-04-18 15:00:00,2003108N29294,31.3,-66.0,30,1008
ATLN,200301L,-66.3,31.9,2003-04-18 18:00:00,30.0,0.0,1007.0,AL012003,2003-04-18 18:00:00,2003108N29294,31.9,-66.3,30,1007
ATLN,200301L,-66.6,32.5,2003-04-18 21:00:00,30.0,0.0,1007.0,AL012003,2003-04-18 21:00:00,2003108N29294,32.5,-66.6,30,1007
ATLN,200301L,-68.6,34.5,2003-04-19 12:00:00,35.0,0.0,1006.0,AL012003,2003-04-19 12:00:00,2003108N29294,34.5,-68.6,35,1006
ATLN,200301L,-68.8,34.4,2003-04-19 15:00:00,35.0,0.0,1006.0,AL012003,2003-04-19 15:00:00,2003108N29294,34.5,-68.9,35,1006
ATLN,200301L,-69.1,34.3,2003-04-19 18:00:00,35.0,0.0,1006.0,AL012003,2003-04-19 18:00:00,2003108N29294,34.3,-69.1,35,1006
ATLN,200301L,-69.0,34.0,2003-04-19 21:00:00,38.0,0.0,1006.0,AL012003,2003-04-19 21:00:00,2003108N29294,34.0,-69.1,38,1006
ATLN,200301L,-68.2,32.0,2003-04-20 12:00:00,45.0,0.0,1000.0,AL012003,2003-04-20 12:00:00,2003108N29294,32.0,-68.2,45,1000
ATLN,200301L,-67.8,31.9,2003-04-20 15:00:00,45.0,0.0,999.0,AL012003,2003-04-20 15:00:00,2003108N29294,31.8,-67.8,45,999
ATLN,200301L,-67.3,31.7,2003-04-20 18:00:00,45.0,0.0,998.0,AL012003,2003-04-20 18:00:00,2003108N29294,31.7,-67.3,45,998
ATLN,200301L,-66.8,31.5,2003-04-20 21:00:00,48.0,0.0,997.0,AL012003,2003-04-20 21:00:00,2003108N29294,31.6,-66.8,48,997
ATLN,200301L,-64.8,30.0,2003-04-21 12:00:00,50.0,0.0,995.0,AL012003,2003-04-21 12:00:00,2003108N29294,30.0,-64.8,50,995
ATLN,200301L,-64.0,29.7,2003-04-21 15:00:00,50.0,0.0,995.0,AL012003,2003-04-21 15:00:00,2003108N29294,29.7,-64.0,50,995
ATLN,200301L,-63.1,29.4,2003-04-21 18:00:00,50.0,0.0,994.0,AL012003,2003-04-21 18:00:00,2003108N29294,29.4,-63.1,50,994
