SID,SEASON,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WIND_KTS,WIND_SOURCE,PRESSURE_MB,PRESSURE_SOURCE
2003129N05091,2003,NI,BB,UNNAMED,2003-05-08 12:00:00,TS,5.0,91.3,15.0,USA,1006.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-08 15:00:00,TS,4.9,91.3,18.0,USA,1005.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-08 18:00:00,TS,4.8,91.2,20.0,USA,1004.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-08 21:00:00,TS,4.7,91.2,20.0,USA,1004.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-09 00:00:00,TS,4.5,91.1,20.0,USA,1004.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-09 03:00:00,TS,4.3,91.1,23.0,USA,1003.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-09 06:00:00,TS,4.2,91.0,25.0,USA,1002.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-09 09:00:00,TS,4.2,90.9,25.0,USA,1002.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-09 12:00:00,TS,4.4,90.7,25.0,USA,1002.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-09 15:00:00,TS,4.7,90.5,25.0,USA,1002.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-09 18:00:00,TS,5.1,90.4,25.0,USA,1002.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-09 21:00:00,TS,5.5,90.3,25.0,USA,1002.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-10 00:00:00,TS,6.0,90.2,25.0,USA,1002.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-10 03:00:00,TS,6.4,90.2,25.0,USA,1002.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-10 06:00:00,TS,6.6,90.1,25.0,USA,1002.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-10 09:00:00,TS,7.2,90.1,28.0,USA,1001.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-10 12:00:00,TS,7.9,89.5,30.0,USA,1000.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-10 15:00:00,TS,8.1,89.3,33.0,USA,999.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-10 18:00:00,TS,8.6,88.9,35.0,USA,997.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-10 21:00:00,TS,8.8,88.7,40.0,USA,994.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-11 00:00:00,TS,9.3,88.3,45.0,USA,991.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-11 03:00:00,TS,9.8,87.6,50.0,USA,988.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-11 06:00:00,TS,10.2,87.2,55.0,USA,984.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-11 09:00:00,TS,10.3,87.0,58.0,USA,982.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-11 12:00:00,TS,10.6,86.7,60.0,USA,980.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-11 15:00:00,TS,10.6,86.5,60.0,USA,980.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-11 18:00:00,TS,10.9,86.2,60.0,USA,980.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-11 21:00:00,TS,10.8,86.2,60.0,USA,980.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-12 00:00:00,TS,10.7,86.2,60.0,USA,980.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-12 03:00:00,TS,10.8,86.2,58.0,USA,982.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-12 06:00:00,TS,11.0,86.2,55.0,USA,984.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-12 09:00:00,TS,11.1,86.3,55.0,USA,984.0,USA
2003129N05091,2003,NI,BB,UNNAMED,2003-05-12 12:00:00,TS,11.4,86.1,55.0,USA,984.0,USA
